Term,P-value,Adjusted P-value,Combined Score,Genes
Collagen-Containing Extracellular Matrix (GO:0062023),2.11E-04,0.027410686,29.39303766,LUM;BGN;CLEC14A;COMP;VTN;COL3A1;CLEC3B;EFEMP1;IGFBPL1;LOX;CILP;SERPING1;EMILIN1
Myofibril (GO:0030016),0.03861216,0.790910347,22.36002324,MYL7;LMOD1
MLL1 Complex (GO:0071339),0.041083359,0.790910347,21.1493459,TAF9;SENP3
Tertiary Granule Membrane (GO:0070821),0.04253546,0.790910347,12.76694781,CD93;OLR1;STOM
MLL1/2 Complex (GO:0044665),0.043612506,0.790910347,20.03688473,TAF9;SENP3
Peroxisome (GO:0005777),0.050695221,0.790910347,8.890937432,NOS2;IDI2;PEX13;RAB8B
Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307),0.068740181,0.790910347,13.06425499,CCNE1;CDK3
Death-Inducing Signaling Complex (GO:0031264),0.072876506,0.790910347,40.34344465,CASP8
Specific Granule Membrane (GO:0035579),0.073007997,0.790910347,8.385383175,CD93;OLR1;STOM
Specific Granule (GO:0042581),0.092742332,0.790910347,5.709068436,CD93;OLR1;CHI3L1;STOM
Microbody Membrane (GO:0031903),0.111098381,0.790910347,7.983483542,PEX13;RAB8B
Peroxisomal Membrane (GO:0005778),0.111098381,0.790910347,7.983483542,PEX13;RAB8B
Lamellar Body (GO:0042599),0.131118539,0.790910347,15.64325718,KLK7
ISWI-type Complex (GO:0031010),0.131118539,0.790910347,15.64325718,CECR2
Platelet Dense Granule Lumen (GO:0031089),0.131118539,0.790910347,15.64325718,CLEC3B
Serine/Threonine Protein Kinase Complex (GO:1902554),0.136086863,0.790910347,6.369556409,CDK3;TANK
Transport Vesicle Membrane (GO:0030658),0.136086863,0.790910347,6.369556409,CA4;HLA-DQB2
MHC Class II Protein Complex (GO:0042613),0.149711535,0.790910347,12.53204855,HLA-DQB2
trans-Golgi Network Transport Vesicle (GO:0030140),0.149711535,0.790910347,12.53204855,RAB8B
Endocytic Vesicle (GO:0030139),0.160913956,0.790910347,3.534179254,RAB39A;TNFRSF25;HLA-DQB2;RAB8B
Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669),0.165962346,0.790910347,5.038442525,EPGN;HLA-DQB2
Protein Kinase Complex (GO:1902911),0.167908476,0.790910347,10.30214459,TANK
Transcription Factor TFTC Complex (GO:0033276),0.167908476,0.790910347,10.30214459,TAF9
Actin Filament (GO:0005884),0.177443532,0.790910347,4.639176949,LMOD1;RCSD1
Motile Cilium (GO:0031514),0.185165077,0.790910347,4.396986007,ARL13B;TSSK1B
Endoplasmic Reticulum Lumen (GO:0005788),0.191659934,0.790910347,2.750004181,COL3A1;FKBP14;SERPING1;FMO1;PPIB
Platelet Dense Granule (GO:0042827),0.194479604,0.790910347,7.960010232,CLEC3B
Anaphase-Promoting Complex (GO:0005680),0.194479604,0.790910347,7.960010232,CDC26
MHC Protein Complex (GO:0042611),0.203147603,0.790910347,7.360257196,HLA-DQB2
Sin3 Complex (GO:0016580),0.203147603,0.790910347,7.360257196,HDAC1
Sin3-type Complex (GO:0070822),0.203147603,0.790910347,7.360257196,HDAC1
SAGA Complex (GO:0000124),0.220206058,0.790910347,6.35199755,TAF9
