Term,P-value,Adjusted P-value,Combined Score,Genes
Glutamatergic Synapse (GO:0098978),0.007714385,0.769074444,16.07999347,PTPRD;TANC1;SLC4A8;PCLO;NRG3;CTTNBP2;NPTXR
MHC Class II Protein Complex (GO:0042613),0.008671724,0.769074444,39.64033202,HLA-DRB5;HLA-DRB1;HLA-DPA1
AP-2 Adaptor Complex (GO:0030122),0.021206034,0.769074444,42.83839835,SGIP1;AP2B1
Clathrin Coat Of Endocytic Vesicle (GO:0030128),0.021206034,0.769074444,42.83839835,SGIP1;AP2B1
MHC Protein Complex (GO:0042611),0.02227397,0.769074444,21.16939772,HLA-DRB5;HLA-DRB1;HLA-DPA1
Calcium Channel Complex (GO:0034704),0.028678283,0.769074444,10.99698913,TRPC5;PDE4D;CACNA1B;CACNA2D2;CALM2
Neuron To Neuron Synapse (GO:0098984),0.032792289,0.769074444,28.49142661,GRIA2;SLC4A8
Clathrin-Coated Endocytic Vesicle (GO:0045334),0.038052851,0.769074444,8.305600029,HLA-DRB5;MYO6;AP2B1;KIAA0319;HLA-DRB1;HLA-DPA1
Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553),0.043099371,0.769074444,13.11816598,HLA-DRB5;HLA-DRB1;HLA-DPA1
Clathrin Coat Of Coated Pit (GO:0030132),0.046285698,0.769074444,20.49248431,SGIP1;AP2B1
Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669),0.048410218,0.769074444,8.032697681,HLA-DRB5;AP2B1;KIAA0319;HLA-DRB1;HLA-DPA1
trans-Golgi Network (GO:0005802),0.05127163,0.769074444,5.221599717,RBFOX1;HLA-DRB5;MMP24;NBEA;DOP1A;OSBP;YIPF7;RELCH;BIRC6;PIK3C2A;HLA-DRB1;HLA-DPA1
Endocytic Vesicle (GO:0030139),0.062367603,0.791383202,4.99772023,GRIA1;GRIA2;HLA-DRB5;MYO6;AP2B1;RAPGEF6;RAB11FIP4;HLA-DRB1;MPEG1;HLA-DPA1
ER To Golgi Transport Vesicle Membrane (GO:0012507),0.076492934,0.791383202,6.731417803,GRIA1;HLA-DRB5;HLA-DRB1;HLA-DPA1
Coated Vesicle Membrane (GO:0030662),0.076492934,0.791383202,6.731417803,GRIA1;HLA-DRB5;HLA-DRB1;HLA-DPA1
Clathrin-Coated Vesicle (GO:0030136),0.077818917,0.791383202,5.842601806,SGIP1;MYO6;AP2B1;PIK3C2A;SNAP91
Axon (GO:0030424),0.078856648,0.791383202,4.361986675,NELL1;PAK1;PCLO;NFIB;MAP1B;KCNC3;SACS;DTNBP1;NRCAM;CD200
Cul3-RING Ubiquitin Ligase Complex (GO:0031463),0.081470173,0.791383202,7.843007991,KLHL7;GLMN;KLHL21
Neuron Projection (GO:0043005),0.094653863,0.791383202,3.25697589,GRIA1;SLC12A2;GABRQ;GRIA2;NCOA2;TPH1;PLPPR1;CADM1;KCNC3;HTR2B;DTNBP1;TRAK1;ROBO1;ARHGAP44;NELL1;SLC4A8;PAK1;PCLO;MAP1B;SACS;NRCAM;CD200
Transport Vesicle Membrane (GO:0030658),0.097923682,0.791383202,5.539932805,GRIA1;HLA-DRB5;HLA-DRB1;HLA-DPA1
SCF Ubiquitin Ligase Complex (GO:0019005),0.10251334,0.791383202,5.335172549,FBXW4;FBXO17;FBXO25;FBXO42
AMPA Glutamate Receptor Complex (GO:0032281),0.105023832,0.791383202,8.837065944,GRIA1;GRIA2
Clathrin Adaptor Complex (GO:0030131),0.105023832,0.791383202,8.837065944,SGIP1;AP2B1
Clathrin-Coated Vesicle Membrane (GO:0030665),0.123169315,0.791383202,4.112860897,HLA-DRB5;AP2B1;KIAA0319;HLA-DRB1;HLA-DPA1
Nuclear Stress Granule (GO:0097165),0.137731573,0.791383202,16.50226947,RBFOX1
Symmetric Synapse (GO:0032280),0.137731573,0.791383202,16.50226947,SLC4A8
External Side Of Apical Plasma Membrane (GO:0098591),0.137731573,0.791383202,16.50226947,SLC38A1
cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.137943218,0.791383202,3.190476739,FBXW4;KLHL7;FBXO17;GLMN;FBXO25;KLHL21;ZSWIM5;FBXO42
Cul2-RING Ubiquitin Ligase Complex (GO:0031462),0.144204289,0.791383202,6.146111775,GLMN;ZSWIM5
Actin Filament (GO:0005884),0.153402665,0.791383202,3.733747589,TMOD1;PAK1;MYO6;GAS7
Chloride Channel Complex (GO:0034707),0.162916072,0.791383202,12.08289875,BEST1
Voltage-Gated Calcium Channel Complex (GO:0005891),0.17170887,0.791383202,3.830995908,PDE4D;CACNA1B;CACNA2D2
