Term,P-value,Adjusted P-value,Combined Score,Genes
Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034243),2.95E-06,0.005975523,77.29609953,INTS11;INTS12;MED22;INTS1;MED20;HNRNPU;MED9;NELFA;NELFCD;SUPT5H;INTS9;NELFE
DNA Damage Response (GO:0006974),5.59E-06,0.005975523,32.95246294,MUS81;BRAT1;NUDT1;HTRA2;SLX4;RBBP5;CHEK2;MACROD1;IKBKG;MEN1;RFC5;WDHD1;UPF1;ENDOG;KMT5C;SIRT4;CIDEB;VRK1;GNL1;HIC1;INIP;POLA1;SLFN11;MSH2;IRF3;ERCC1;IRF7;SLX1A;HDGFL2
Chromatin Organization (GO:0006325),2.11E-05,0.015041599,31.90455427,SMARCB1;H4C9;H2BC8;HDAC11;EHMT1;HNRNPU;YEATS4;LRWD1;H2BC17;TTI1;SOX2;H2BC13;SLFN11;H2BC15;MYBBP1A;H3C14;H2BC21;BCL7B;H2BC11;HMGN2;HDGFL2;H3-3A
Nucleosome Assembly (GO:0006334),2.95E-05,0.015777783,68.31572466,H2BC13;H2BC15;H2BC8;H4C9;H3C14;H2BC21;H2BC11;H2BC17;H3-3A
protein-DNA Complex Assembly (GO:0065004),6.11E-05,0.026106458,57.18539624,H2BC13;H2BC15;H2BC8;H4C9;H3C14;H2BC21;H2BC11;H2BC17;H3-3A
Nucleosome Organization (GO:0034728),7.86E-05,0.02798479,47.65179027,H2BC13;SMARCB1;H2BC15;H2BC8;H4C9;H3C14;H2BC21;H2BC11;H2BC17;H3-3A
"Negative Regulation Of DNA-templated Transcription, Elongation (GO:0032785)",1.48E-04,0.045182206,110.5109133,HNRNPU;NELFA;NELFCD;SUPT5H;NELFE
Regulation Of Toll-Like Receptor Signaling Pathway (GO:0034121),2.55E-04,0.065534443,89.86567625,LRRC14;GPR108;IRF7;GPS2;CACTIN
Protein Localization To Chromatin (GO:0071168),2.76E-04,0.065534443,64.15366321,H2AC8;H4C9;MSH2;H2BC11;SGF29;LRWD1
Negative Regulation Of DNA Metabolic Process (GO:0051053),6.07E-04,0.122676024,40.2959274,H1-4;DFFA;SLFN11;MSH2;ERCC1;H1-10;H1-2
Negative Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034244),6.31E-04,0.122676024,95.87601954,HNRNPU;NELFA;NELFCD;NELFE
Anterograde Synaptic Vesicle Transport (GO:0048490),8.41E-04,0.133630536,83.76903997,BLOC1S5;BLOC1S1;AP3D1;AP3S2
Synaptic Vesicle Transport Along Microtubule (GO:0099517),8.41E-04,0.133630536,83.76903997,BLOC1S5;BLOC1S1;AP3D1;AP3S2
Positive Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060261),8.75E-04,0.133630536,35.74741341,MED12;MED22;GTF2A2;MED20;MED9;TAF4B;TAF6
DNA Metabolic Process (GO:0006259),0.001178622,0.167914386,15.68347758,MUS81;RFC5;WDHD1;UPF1;SMARCB1;ENDOG;KMT5C;NUDT1;LRWD1;INIP;PTMS;POLA1;SLX4;MSH2;NTHL1;ERCC1;SLX1A;MEN1;POLG
Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144),0.001368986,0.182845212,30.73823068,MED12;MED22;GTF2A2;MED20;MED9;TAF4B;TAF6
Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060260),0.001520998,0.191198342,29.64088605,MED12;MED22;GTF2A2;MED20;MED9;TAF4B;TAF6
"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",0.001828613,0.214054888,41.05674982,TBL3;DHX37;LOC102724159;KRI1;PWP2
Regulation Of DNA-templated Transcription Elongation (GO:0032784),0.001903155,0.214054888,32.24036557,INTS11;INTS12;SCAF8;INTS1;SUPT5H;INTS9
Chromosome Organization (GO:0051276),0.002141209,0.228788175,30.82107069,H1-4;H4C9;MSH2;H1-10;H3-3A;H1-2
Histone Lysine Methylation (GO:0034968),0.002459794,0.235376191,36.22369767,RBBP5;EHMT2;CXXC1;WDR5B;MEN1
