GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
107986874,0.000014,7.17E-10,0.275,6.1623828,1.6946666,79.11,LOC107986874,replaced by ID 6641
23409,0.005607,5.75E-07,0.081,-4.9994249,-0.4050141,10487.22,SIRT4,sirtuin 4
4286,0.075744,2.72E-05,0.307,4.1958199,1.2880544,134.04,MITF,melanocyte inducing transcription factor
27295,0.075744,2.26E-05,0.2259,-4.237085,-0.9571716,290.32,PDLIM3,PDZ and LIM domain 3
23504,0.075744,2.46E-05,0.632,4.2186902,2.6661655,14.98,RIMBP2,RIMS binding protein 2
6235,0.075744,2.29E-05,0.3969,-4.2343745,-1.6805506,8392.94,RPS29,ribosomal protein S29
7652,0.075744,1.22E-05,0.559,4.3737552,2.4451364,13.24,ZNF99,zinc finger protein 99
2232,0.088122,4.07E-05,0.206,-4.1036415,-0.8452134,180,FDXR,ferredoxin reductase
5616,0.088122,3.90E-05,0.7551,-4.1131743,-3.1057588,98.8,PRKY,protein kinase Y-linked (pseudogene)
22876,0.109015,6.15E-05,0.1249,4.0070089,0.5005691,1795.06,INPP5F,inositol polyphosphate-5-phosphatase F
440416,0.109015,5.84E-05,1.1815,-4.0191781,-4.7486896,126.71,CCDC144NL-AS1,CCDC144NL antisense RNA 1
7918,0.183298,1.32E-04,0.1097,-3.8234598,-0.4195748,552.66,GPANK1,G-patch domain and ankyrin repeats 1
109616965,0.183298,1.29E-04,0.1939,-3.8291581,-0.7422882,557.49,SNORA22C,"small nucleolar RNA, H/ACA box 22C"
677807,0.183298,1.19E-04,0.1987,-3.8474025,-0.7645811,2549.97,SNORA22,"small nucleolar RNA, H/ACA box 22"
6086,0.184259,1.51E-04,0.3457,-3.7891249,-1.3100407,160.67,RNY4,"RNA, Ro60-associated Y4"
284339,0.184259,1.51E-04,0.2178,3.7901687,0.8254469,35.49,TMEM145,transmembrane protein 145
100151683,0.204092,1.90E-04,0.1008,-3.7325472,-0.3763666,310.48,RNU4ATAC,"RNA, U4atac small nuclear"
109616964,0.204092,2.01E-04,0.1992,-3.7175114,-0.740583,46.6,SNORA22B,"small nucleolar RNA, H/ACA box 22B"
105375631,0.204092,2.09E-04,0.3507,3.7075014,1.3003906,27.78,LOC105375631,LINE-1 retrotransposable element ORF2 protein-like
107984131,0.204092,1.93E-04,0.3289,3.7283781,1.2261124,142.8,LOC107984131,uncharacterized LOC107984131
128061,0.206652,2.44E-04,0.1017,-3.6687582,-0.37325,338.99,C1orf131,chromosome 1 open reading frame 131
8837,0.206652,2.39E-04,0.2061,3.6737744,0.7569925,845.09,CFLAR,CASP8 and FADD like apoptosis regulator
81539,0.206652,2.27E-04,0.2279,3.6863947,0.840275,1317.69,SLC38A1,solute carrier family 38 member 1
105370119,0.210357,2.59E-04,0.4601,3.653304,1.6809543,36.04,LOC105370119,uncharacterized LOC105370119
107984960,0.211196,3.11E-04,0.5464,3.6055945,1.9702616,18.46,LOC107984960,uncharacterized LOC107984960
1404,0.211196,3.14E-04,0.6304,3.6034092,2.271462,27.35,HAPLN1,hyaluronan and proteoglycan link protein 1
102723716,0.211196,3.07E-04,0.2577,3.6094691,0.9302634,38.2,LOC102723716,uncharacterized LOC102723716
677814,0.211196,3.12E-04,0.1608,-3.6055041,-0.5796988,101.55,SNORA31,"small nucleolar RNA, H/ACA box 31"
123606,0.211196,2.78E-04,0.0709,3.6352072,0.2577284,1306.45,NIPA1,NIPA magnesium transporter 1
161145,0.263781,4.06E-04,0.3555,-3.5362851,-1.2569872,344.37,TMEM229B,transmembrane protein 229B
4745,0.267481,4.39E-04,1.276,3.5155039,4.4856695,179.64,NELL1,neural EGFL like 1
267010,0.267481,4.27E-04,0.1305,-3.5231007,-0.4597085,2317.51,RNU12,"RNA, U12 small nuclear"
105373436,0.272744,4.90E-04,0.3969,3.4864285,1.383698,13.79,LOC105373436,uncharacterized LOC105373436
6878,0.272744,4.82E-04,0.0784,-3.490462,-0.2736355,771.13,TAF6,TATA-box binding protein associated factor 6
