GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
100287102,1,0.837444,0.4028,-0.2051644,-0.0826325,9.56,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene)
653635,1,0.765978,0.1226,-0.2976395,-0.0364962,309.36,WASH7P,"WASP family homolog 7, pseudogene"
102466751,1,0.960853,0.3433,0.0490836,0.0168491,14.45,MIR6859-1,microRNA 6859-1
100996442,1,0.730333,0.4072,0.3446831,0.1403437,14.86,LOC100996442,WAS protein family homolog 2-like
729737,1,0.902368,0.395,-0.1226707,-0.0484553,31.2,LOC729737,uncharacterized LOC729737
102725121,1,0.808893,0.4181,-0.2418547,-0.101114,10.47,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene)
102723897,1,0.884346,0.1577,-0.1454617,-0.0229325,378.42,WASH9P,"WAS protein family homolog 9, pseudogene"
100132287,1,0.950756,0.4807,-0.0617576,-0.0296856,41.71,LOC100132287,uncharacterized LOC100132287
113219467,1,0.821753,0.2419,0.225291,0.0544871,194.96,MIR12136,microRNA 12136
100133331,1,0.732229,0.3453,-0.3421615,-0.118134,36.76,LOC100133331,replaced by ID 100288069
107984841,1,0.912293,0.47,-0.1101462,-0.0517655,10.74,LOC107984841,replaced by ID 100288069
107984847,1,0.994111,0.4828,-0.0073806,-0.0035636,23.76,LOC107984847,replaced by ID 100288069
100288069,1,0.922785,0.3628,-0.0969263,-0.0351615,38.17,LOC100288069,uncharacterized LOC100288069
105378580,1,0.849085,0.2674,-0.1902857,-0.0508902,60.81,LINC01409,long intergenic non-protein coding RNA 1409
400728,1,0.417531,0.4847,-0.810713,-0.3929743,15.36,FAM87B,family with sequence similarity 87 member B
79854,1,0.918582,0.4188,-0.1022199,-0.0428082,35.64,LINC00115,long intergenic non-protein coding RNA 115
643837,1,0.534234,0.1322,-0.6215554,-0.0821575,273.26,LINC01128,long intergenic non-protein coding RNA 1128
284600,1,0.443176,0.3519,-0.7668417,-0.2698536,134.48,LOC284600,uncharacterized LOC284600
100130417,1,0.413271,0.4748,-0.8181513,-0.3884717,96.98,LINC02593,long intergenic non-protein coding RNA 2593
107985728,1,0.383018,0.5993,-0.8723487,-0.5228251,279.87,LOC107985728,collagen alpha-1(III) chain-like
148398,1,0.480025,0.657,-0.7062618,-0.4639988,1045.47,SAMD11,sterile alpha motif domain containing 11
26155,1,0.295145,0.1145,-1.0469014,-0.1198401,1551.53,NOC2L,NOC2 like nucleolar associated transcriptional repressor
339451,1,0.229528,0.2064,-1.2015745,-0.2480018,250.59,KLHL17,kelch like family member 17
57801,1,0.436897,0.3431,0.7774433,0.266716,533.33,HES4,hes family bHLH transcription factor 4
9636,1,0.758708,0.3119,0.3071774,0.095817,100.06,ISG15,ISG15 ubiquitin like modifier
375790,1,0.516192,0.2108,0.6492258,0.1368818,5125.94,AGRN,agrin
100288175,1,0.269595,0.4873,-1.1039957,-0.5379475,17.86,LOC100288175,uncharacterized LOC100288175
105378948,1,0.96689,0.4664,0.0415085,0.0193585,14.86,LOC105378948,uncharacterized LOC105378948
54991,1,0.489243,0.1818,0.6915139,0.1257293,214.39,C1orf159,chromosome 1 open reading frame 159
51150,1,0.478263,0.1599,-0.7090998,-0.1134175,2245.21,SDF4,stromal cell derived factor 4
126792,1,0.757687,0.1368,-0.3085192,-0.0422026,865.1,B3GALT6,"beta-1,3-galactosyltransferase 6"
118424,1,0.531234,0.0963,-0.6261234,-0.0603188,699.65,UBE2J2,ubiquitin conjugating enzyme E2 J2
101928895,1,0.90481,0.222,-0.1195874,-0.0265473,69.85,LINC01786,long intergenic non-protein coding RNA 1786
6339,1,0.964491,0.2339,-0.0445181,-0.0104115,103.58,SCNN1D,sodium channel epithelial 1 subunit delta
116983,1,0.881647,0.1562,0.1488815,0.023251,1450.05,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
126789,1,0.994206,0.1903,-0.0072622,-0.0013821,139.62,PUSL1,pseudouridine synthase like 1
54973,1,0.772226,0.1049,-0.2894639,-0.0303752,1149.01,INTS11,integrator complex subunit 11
80772,1,0.837421,0.1331,-0.2051936,-0.0273176,461.6,CPTP,ceramide-1-phosphate transfer protein
83756,1,0.460183,0.2735,-0.7385455,-0.2019987,64.7,TAS1R3,taste 1 receptor member 3
1855,1,0.872446,0.1609,-0.1605525,-0.0258297,1178.18,DVL1,dishevelled segment polarity protein 1
54587,1,0.726994,0.4315,0.3491272,0.1506482,110.88,MXRA8,matrix remodeling associated 8
54998,1,0.651191,0.1127,-0.4521087,-0.0509634,765.63,AURKAIP1,aurora kinase A interacting protein 1
81669,1,0.996121,0.1154,-0.0048622,-0.0005613,2453.97,CCNL2,cyclin L2
148413,1,0.301228,0.1557,-1.0338028,-0.1609635,483.02,MRPL20-AS1,MRPL20 antisense RNA 1
