Term,P-value,Adjusted P-value,Combined Score,Genes
Collagen-Containing Extracellular Matrix (GO:0062023),5.84E-15,1.76E-12,98.33952883,ACHE;SERPINA3;SRPX;COL16A1;SERPINE2;COL14A1;LOXL1;HAPLN1;LOXL2;ADAMTS4;LGALS1;TNN;CTSH;EMILIN1;POSTN;EGFL7;WNT5B;COL25A1;MMP2;COL23A1;BGN;PCOLCE;NPNT;SERPINB8;ASPN;DCN;GREM1;F7;SFRP1;VCAN;LOX;ANGPTL6;COL6A2;COL8A2;ANGPTL2;COL21A1;COL6A3;ANGPTL4;MXRA5;ITIH5;ITIH4;COL15A1;ITIH2;COL13A1;LAMA2;LAMA4;COL11A2;FGL2;FBLN1;LTBP2;PRELP;NID1;FBLN2;NID2;ADAMTS10;HPX;SRPX2;GDF10;ANGPT2;LAMB3;TGFB3;LUM;FN1;PRG4;PODN;AGT;COL1A1;SMOC2;MFAP4;COL3A1;COL1A2;CXCL12;SMOC1;COL5A3;OGN;MGP;CNTN1;CSPG4;COL9A2;TGFBI;FBN1;CBLN1
Basement Membrane (GO:0005604),0.00181857,0.219932865,20.55099463,SMOC2;COL15A1;LAMA2;LAMA4;SMOC1;COL23A1;COL8A2;NID1;NID2;LOXL2;FBN1
Endoplasmic Reticulum Lumen (GO:0005788),0.002184764,0.219932865,10.46114928,COL15A1;COL16A1;ITIH2;COL13A1;COL14A1;COL11A2;PCSK9;CLN6;C4A;ADAMTS5;FOXRED2;LGALS1;ARSL;PDGFD;PENK;UGGT2;CHGB;WNT4;IGFBP5;WNT5B;IGFBP4;COL25A1;COL23A1;FN1;FMO1;COL1A1;F7;F8;COL3A1;VCAN;COL1A2;COL5A3;P4HA3;COL6A2;COL8A2;SPARCL1;COL21A1;COL6A3;COL9A2;FBN1
Postsynaptic Density Membrane (GO:0098839),0.008250638,0.534784058,15.27921303,CACNG8;GRM5;DAGLA;GRIK1;CACNG2;GRIN2C;CACNG3;GRM1
Voltage-Gated Potassium Channel Complex (GO:0008076),0.010952737,0.534784058,10.13366754,KCNJ5;KCND2;KCND3;KCNIP2;KCNB2;KCNA6;KCNMB2;KCNQ3;KCNQ5;KCNJ2;HCN2;KCNJ3;HCN1
Protein Kinase Complex (GO:1902911),0.013432823,0.534784058,18.57110663,STING1;TRAF3;INSRR;TBKBP1;MAP3K5
Postsynaptic Density (GO:0014069),0.013494359,0.534784058,7.617878051,NSF;PRNP;DAGLA;KCND2;KCND3;INSYN1;GRIK1;CACNA1C;GRIN2C;ADCY8;GRM1;GRM5;CACNG8;ADGRA1;LRRC7;GPER1;ADGRB1;ADGRL1;CACNG2;DISC1;CACNG3;SHANK1
Golgi Lumen (GO:0005796),0.014166465,0.534784058,8.404239617,WNT5B;LUM;BGN;PRELP;NGF;MUC5B;DCN;HS3ST1;F7;F8;MMP14;VCAN;OGN;CSPG4;WNT4;MUC6
Postsynaptic Specialization Membrane (GO:0099634),0.016230125,0.544610871,11.37199031,CACNG8;GRM5;DAGLA;GRIK1;CACNG2;GRIN2C;CACNG3;GRM1
Potassium Channel Complex (GO:0034705),0.024811087,0.638293658,7.31857982,KCNJ5;KCND2;KCND3;KCNIP2;KCNB2;GRIK1;KCNA6;KCNMB2;KCNQ3;KCNQ5;KCNJ2;HCN2;KCNJ3
Voltage-Gated Calcium Channel Complex (GO:0005891),0.026106773,0.638293658,8.488525901,CACNG8;CATSPERE;CACNA2D1;TMEM249;CACNA1B;CACNA1D;CACNA1C;SCN2A;CACNG3
Extracellular Membrane-Bounded Organelle (GO:0065010),0.026385761,0.638293658,8.005043809,SERPINE2;COL6A2;OGN;HEXD;COL6A3;HAS2;ATP2B3;PRELP;SLC39A12;FBLN2
Perineuronal Net (GO:0072534),0.027476217,0.638293658,22.28549379,VCAN;HAPLN4;HAPLN1
Extracellular Vesicle (GO:1903561),0.036305486,0.776209551,6.862941869,SERPINE2;COL6A2;OGN;HEXD;COL6A3;HAS2;ATP2B3;PRELP;SLC39A12;FBLN2
Perisynaptic Extracellular Matrix (GO:0098966),0.038553455,0.776209551,16.8202433,VCAN;HAPLN4;HAPLN1
Calcium Channel Complex (GO:0034704),0.073075261,0.9999946,4.87080754,CACNG8;CACNA2D1;CACNA1B;CACNA1D;CACNA1C;PRKACA;CALM1;SCN2A;CACNG3
Asymmetric Synapse (GO:0032279),0.077897197,0.9999946,3.872415961,NSF;NLGN4Y;PRNP;KCND2;KCND3;INSYN1;CACNA1C;ADCY8;CACNG8;ADGRA1;GRM7;LRRC7;GPER1;ADGRB1;ADGRL1;DISC1;SHANK1
GABA-ergic Synapse (GO:0098982),0.080709704,0.9999946,6.935574942,NLGN4Y;PTPRO;ATP2B3;DISC1
G Protein-Coupled Receptor Dimeric Complex (GO:0038037),0.092089489,0.9999946,12.31616546,RAMP2;GRM1
tRNA Methyltransferase Complex (GO:0043527),0.092089489,0.9999946,12.31616546,WDR4;TRMT61A
Catenin Complex (GO:0016342),0.095722397,0.9999946,5.271452549,PCDHGB4;CDH22;CDH23;DCHS1;CDH7
Cytoplasmic Side Of Endoplasmic Reticulum Membrane (GO:0098554),0.100874133,0.9999946,7.109082841,SPPL2A;SPPL3;OTULINL
TORC2 Complex (GO:0031932),0.121579588,0.9999946,8.704768223,PRR5;TELO2
Cytoskeleton Of Presynaptic Active Zone (GO:0048788),0.121579588,0.9999946,8.704768223,RIMS4;ERC1
Dendritic Spine Membrane (GO:0032591),0.121579588,0.9999946,8.704768223,DAGLA;GPER1
Synaptic Membrane (GO:0097060),0.133655788,0.9999946,3.999100722,RIMS4;DAGLA;SRPX2;FLRT3;GPER1
Exocytic Vesicle (GO:0070382),0.140997442,0.9999946,5.058841494,IGF1;SYTL4;UNC13D
Secretory Vesicle (GO:0099503),0.140997442,0.9999946,5.058841494,IGF1;SYTL4;UNC13D
Platelet Dense Tubular Network Membrane (GO:0031095),0.152947396,0.9999946,6.463480883,ITPR1;ITPR2
Serine/Threonine Protein Kinase Complex (GO:1902554),0.156954565,0.9999946,2.944641269,CCNB3;STING1;TRAF3;CDK3;PARD6G;TBKBP1;CDK5R2;TGFBR2
Excitatory Synapse (GO:0060076),0.157029289,0.9999946,3.825087316,NLGN4Y;SRPX2;ATP2B3;SHANK1
Platelet Alpha Granule (GO:0031091),0.160627282,0.9999946,2.666274352,SERPINA3;ISLR;F8;SERPINE2;TEX264;TGFB3;HGF;FN1;IGF1;LHFPL2;SYTL4
Ionotropic Glutamate Receptor Complex (GO:0008328),0.162115381,0.9999946,3.356882602,CACNG8;OLFM2;GRIK1;GRIN2C;CACNG3
Neuron Projection (GO:0043005),0.169893241,0.9999946,2.053359973,EPHB6;PCSK1;NRSN2;TENM4;AVIL;PTPRO;SLC6A4;CALB2;RBM3;C4A;TMEM266;HTR6;ALCAM;CALB1;GRM7;GPER1;NPFF;INSRR;NPY1R;SSTR1;PRSS12;ANK1;ADGRB1;ALDH1A1;RIN3;SHANK1;CAMK2B;SPTBN4;TPH1;PLPPR1;CAMK2A;OPRL1;ADCY8;TRAK2;CHRND;BRINP2;PENK;SLC38A7;CHRNA10;PRPH;NTRK1;PRNP;SLC12A5;CADM1;KCNB2;SLC4A10;HTR1B;NELL2;MLPH;CNTN1;ADGRL1;ZACN;SCN2A;CDK5R2;HCN2;HCN1
Cul3-RING Ubiquitin Ligase Complex (GO:0031463),0.192752057,0.9999946,2.834706759,ENC1;SPOP;KLHL22;KBTBD7;LZTR1
Supramolecular Fiber (GO:0099512),0.208778979,0.9999946,2.610033748,MYH7B;MFAP4;FBLN1;ADAMTS10;FBN1
Sodium Channel Complex (GO:0034706),0.208847375,0.9999946,3.23493754,SCNN1D;SCN2A;SCN2B
Neuron To Neuron Synapse (GO:0098984),0.219154522,0.9999946,3.918576914,GRM7;SLC39A3
Platelet Dense Tubular Network (GO:0031094),0.219154522,0.9999946,3.918576914,ITPR1;ITPR2
Platelet Alpha Granule Lumen (GO:0031093),0.225356447,0.9999946,2.123624877,SERPINA3;ISLR;F8;TEX264;TGFB3;HGF;FN1;IGF1
Lysosomal Lumen (GO:0043202),0.226741005,0.9999946,2.017795221,VCAN;IDUA;LUM;CTSK;OGN;BGN;PRELP;CSPG4;CEL;DCN
AMPA Glutamate Receptor Complex (GO:0032281),0.23287319,0.9999946,2.821739761,CACNG8;OLFM2;CACNG3
Glutamatergic Synapse (GO:0098978),0.249723768,0.9999946,1.8697679,NLGN4Y;NELL2;ADGRA1;CTTNBP2;PTPRO;LRRC4;ATP2B3;DISC1;CBLN1
Microfibril (GO:0001527),0.253113674,0.9999946,3.15244015,MFAP4;FBN1
Axon (GO:0030424),0.270144974,0.9999946,1.544125198,NTRK1;PTPRO;INSRR;ATP2B3;ADCY8;PRSS12;NELL2;C4A;ALCAM;CALB1;GRM7;GPER1;ALDH1A1;SLC38A7;CNTN1;ADGRL1;RIN3;SCN2A;HCN2;PRPH;HCN1
Dendrite (GO:0030425),0.277424186,0.9999946,1.472983045,EPHB6;DAGLA;ADCY8;TRAK2;CALB2;RBM3;C4A;TMEM266;HTR6;BRINP2;CALB1;GRM7;GPER1;PENK;PRNP;NPFF;KCNB2;SLC4A10;ZNF804A;HTR1B;PRSS12;MLPH;ADGRB1;RIN3;HCN2;SHANK1;HCN1
Serine-Type Peptidase Complex (GO:1905286),0.287170344,0.9999946,2.576370233,F7;CNTN1
CatSper Complex (GO:0036128),0.321042379,0.9999946,2.132733559,CATSPERE;TMEM249
Cation Channel Complex (GO:0034703),0.325689479,0.9999946,1.478941063,SCNN1D;KCNIP2;KCNA6;PRKACA;CALM1;SCN2A
Golgi-associated Vesicle Membrane (GO:0030660),0.332208508,0.9999946,1.706682727,TMEM199;SPPL2A;SPPL3
SAGA Complex (GO:0000124),0.332208508,0.9999946,1.706682727,TAF6L;TMEM98;ATXN7L3
Adherens Junction (GO:0005912),0.346781863,0.9999946,1.215554022,SPTBN4;MPP3;BMPR2;PCDHGB4;PRICKLE4;CDH7;SMAD7;APC;LRRC7;CCDC85A;CDH22;DCHS1;PGM5;PLPP3;JCAD
ATP-binding Cassette (ABC) Transporter Complex (GO:0043190),0.370319872,0.9999946,2.563487,ABCB8
MHC Class I Protein Complex (GO:0042612),0.370319872,0.9999946,2.563487,HFE
PAR Polarity Complex (GO:0120157),0.370319872,0.9999946,2.563487,PARD6G
Alveolar Lamellar Body (GO:0097208),0.370319872,0.9999946,2.563487,CTSH
"Asymmetric, Glutamatergic, Excitatory Synapse (GO:0098985)",0.370319872,0.9999946,2.563487,NLGN4Y
Platelet Dense Granule Membrane (GO:0031088),0.370319872,0.9999946,2.563487,ITPR1
Sarcoglycan Complex (GO:0016012),0.370319872,0.9999946,2.563487,SGCD
Symmetric Synapse (GO:0032280),0.370319872,0.9999946,2.563487,NLGN4Y
COPI-coated Vesicle Membrane (GO:0030663),0.419426828,0.9999946,1.281252386,TMEM199;COPZ2
Clathrin Coat (GO:0030118),0.419426828,0.9999946,1.281252386,CLTB;KCNQ5
