GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
285148,0.0044,4.46E-07,0.0684,-5.048289,-0.3453857,1054.65,IAH1,isoamyl acetate hydrolyzing esterase 1 (putative)
22863,0.0044,2.37E-07,0.0586,-5.167453,-0.3026371,927.28,ATG14,autophagy related 14
107986167,0.00975,2.38E-06,0.3907,-4.717732,-1.8433567,13.2,LOC107986167,uncharacterized LOC107986167
56106,0.00975,2.47E-06,0.1957,-4.710688,-0.9218568,1197.34,PCDHGA10,"protocadherin gamma subfamily A, 10"
7918,0.00975,1.97E-06,0.0993,4.756844,0.4724191,613.64,GPANK1,G-patch domain and ankyrin repeats 1
5616,0.01225,3.72E-06,0.6907,4.626435,3.1953471,113.77,PRKY,protein kinase Y-linked (pseudogene)
23370,0.01284,4.55E-06,0.051,4.58455,0.2338951,1579.52,ARHGEF18,Rho/Rac guanine nucleotide exchange factor 18
221527,0.01607,6.51E-06,0.1232,4.509153,0.5554421,394.32,ZBTB12,zinc finger and BTB domain containing 12
440416,0.01976,9.01E-06,1.0784,4.43977,4.7878552,141.8,CCDC144NL-AS1,CCDC144NL antisense RNA 1
8837,0.02478,1.29E-05,0.214,-4.361426,-0.9335534,885.95,CFLAR,CASP8 and FADD like apoptosis regulator
283131,0.02478,1.38E-05,0.2956,-4.346978,-1.2848273,2122.92,NEAT1,nuclear paraspeckle assembly transcript 1
6490,0.0254,1.54E-05,0.4735,-4.32242,-2.0465409,15.75,PMEL,premelanosome protein
129684,0.0414,2.73E-05,0.7025,-4.195263,-2.9470937,26.99,CNTNAP5,contactin associated protein family member 5
124245,0.0414,2.93E-05,0.082,4.178485,0.3426762,959.21,ZC3H18,zinc finger CCCH-type containing 18
445582,0.05424,4.12E-05,0.8063,4.100717,3.3062078,39.25,POTEE,POTE ankyrin domain family member E
825,0.06309,5.11E-05,0.2331,-4.050524,-0.9440566,57.36,CAPN3,calpain 3
2591,0.06578,5.66E-05,0.2491,-4.026485,-1.0030736,72.87,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3
401027,0.08314,8.42E-05,0.4133,-3.932154,-1.6252124,35.91,C2orf66,chromosome 2 open reading frame 66
10919,0.08314,8.06E-05,0.092,3.942681,0.3625701,2347.04,EHMT2,euchromatic histone lysine methyltransferase 2
10966,0.08314,7.81E-05,0.1152,-3.950151,-0.4549905,358.42,RAB40B,"RAB40B, member RAS oncogene family"
105373436,0.08876,9.77E-05,0.34,-3.896293,-1.3249327,14.95,LOC105373436,uncharacterized LOC105373436
23409,0.08876,9.89E-05,0.0677,3.893355,0.2634212,10866.64,SIRT4,sirtuin 4
100499194,0.0892,1.07E-04,0.4105,-3.873186,-1.5899723,15.27,LINC02992,long intergenic non-protein coding RNA 2992
10498,0.0892,1.11E-04,0.0697,3.864798,0.2692241,769.51,CARM1,coactivator associated arginine methyltransferase 1
7022,0.0892,1.13E-04,0.9418,-3.86104,-3.6363584,57.69,TFAP2C,transcription factor AP-2 gamma
4286,0.10222,1.45E-04,0.3102,-3.799654,-1.1787989,148.92,MITF,melanocyte inducing transcription factor
7917,0.10222,1.43E-04,0.079,3.802353,0.3005145,3420.69,BAG6,BAG cochaperone 6
26145,0.10222,1.42E-04,0.0758,3.805352,0.2886228,804.2,IRF2BP1,interferon regulatory factor 2 binding protein 1
6480,0.10633,1.65E-04,0.1872,3.766741,0.7050867,212.77,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"
107986656,0.10633,1.67E-04,0.3416,-3.764507,-1.2860106,18.04,LOC107986656,uncharacterized LOC107986656
84461,0.10633,1.61E-04,0.0733,3.773481,0.276673,792.26,NEURL4,neuralized E3 ubiquitin protein ligase 4
79813,0.108,1.79E-04,0.0668,3.746259,0.2502772,2171.26,EHMT1,euchromatic histone lysine methyltransferase 1
1856,0.108,1.86E-04,0.0702,3.737433,0.2624424,1145.03,DVL2,dishevelled segment polarity protein 2
2874,0.108,1.85E-04,0.0845,3.738214,0.3157293,1453.43,GPS2,G protein pathway suppressor 2
101927432,0.1236,2.19E-04,0.3483,-3.696005,-1.2873751,83.86,LOC101927432,uncharacterized LOC101927432
7678,0.12586,2.29E-04,0.0975,3.684228,0.3591994,454.51,ZNF124,zinc finger protein 124
648740,0.15258,2.98E-04,0.3004,-3.616986,-1.0865672,22.64,ACTG1P4,actin gamma 1 pseudogene 4
107986024,0.15258,3.17E-04,0.4088,-3.601018,-1.4720783,18.68,LOC107986024,
112268014,0.15258,3.00E-04,0.312,-3.615623,-1.1281657,31.32,LOC112268014,
4745,0.15258,3.18E-04,1.3344,-3.599994,-4.8037119,194.29,NELL1,neural EGFL like 1
7652,0.15258,3.24E-04,0.6817,-3.594969,-2.4508445,14.29,ZNF99,zinc finger protein 99
22829,0.15258,3.10E-04,0.4348,3.606636,1.5682781,330.87,NLGN4Y,neuroligin 4 Y-linked
26173,0.15601,3.71E-04,0.1293,3.559731,0.4603997,1447.31,INTS1,integrator complex subunit 1
222166,0.15601,3.50E-04,0.1061,3.575318,0.3793009,5136.2,MTURN,"maturin, neural progenitor differentiation regulator homolog"
102723716,0.15601,3.60E-04,0.2853,-3.568045,-1.0179741,41.31,LOC102723716,uncharacterized LOC102723716
105370213,0.15601,3.67E-04,0.5558,-3.562642,-1.9800929,19.33,LOC105370213,uncharacterized LOC105370213
3191,0.15601,3.45E-04,0.1012,3.578611,0.3622676,2935.2,HNRNPL,heterogeneous nuclear ribonucleoprotein L
4221,0.15847,3.93E-04,0.1175,3.544652,0.4163842,530.54,MEN1,menin 1
80198,0.15847,3.90E-04,0.1208,3.546833,0.4282945,885.73,MUS81,MUS81 structure-specific endonuclease subunit
6878,0.1698,4.30E-04,0.0682,3.521054,0.2401782,832.07,TAF6,TATA-box binding protein associated factor 6
2879,0.17025,4.40E-04,0.0569,3.515098,0.2001312,3359.25,GPX4,glutathione peroxidase 4
105373794,0.17142,4.60E-04,0.4687,-3.502966,-1.6416662,35.98,LOC105373794,
27295,0.17142,4.81E-04,0.2154,3.491226,0.7521083,290.65,PDLIM3,PDZ and LIM domain 3
259296,0.17142,4.76E-04,0.4135,-3.493822,-1.4448365,17.06,TAS2R50,taste 2 receptor member 50
51016,0.17142,4.80E-04,0.1207,3.491736,0.4213648,178.69,EMC9,ER membrane protein complex subunit 9
56241,0.17142,4.86E-04,0.3024,-3.488354,-1.054783,56.73,SUSD2,sushi domain containing 2
10215,0.18097,5.22E-04,0.2498,3.469084,0.8665933,256.32,OLIG2,oligodendrocyte transcription factor 2
101929322,0.19625,6.26E-04,0.3591,-3.420114,-1.2280171,40.75,LOC101929322,integrator complex subunit 4 pseudogene
112268007,0.19625,6.02E-04,0.3368,-3.430659,-1.1555727,56.59,GRM3-AS1,GRM3 antisense RNA 1
23281,0.19625,6.22E-04,0.641,-3.421665,-2.193207,18.65,MTUS2,microtubule associated scaffold protein 2
9146,0.19625,5.82E-04,0.0746,3.439675,0.2567545,1544.26,HGS,hepatocyte growth factor-regulated tyrosine kinase substrate
2193,0.19625,6.17E-04,0.0822,3.424196,0.28154,1134.19,FARSA,phenylalanyl-tRNA synthetase subunit alpha
388523,0.19625,6.13E-04,0.4155,-3.425725,-1.4233436,12.62,ZNF728,zinc finger protein 728
65072,0.19988,6.48E-04,0.2965,-3.410835,-1.0114024,27.87,CFLAR-AS1,CFLAR antisense RNA 1
10718,0.20467,6.74E-04,0.2605,-3.400012,-0.8857334,539.42,NRG3,neuregulin 3
27339,0.20467,6.84E-04,0.0594,3.395952,0.2018854,1789.51,PRPF19,pre-mRNA processing factor 19
4820,0.21037,7.46E-04,0.093,-3.372258,-0.3134877,4077.46,NKTR,natural killer cell triggering receptor
275,0.21037,7.39E-04,0.1497,-3.374863,-0.505328,160.29,AMT,aminomethyltransferase
101928351,0.21037,7.45E-04,0.2809,-3.37232,-0.947313,50.27,LOC101928351,uncharacterized LOC101928351
105377291,0.21037,7.23E-04,0.1182,-3.380694,-0.3996145,226.7,LOC105377291,uncharacterized LOC105377291
6086,0.21262,7.64E-04,0.3542,3.365414,1.1921188,165.99,RNY4,"RNA, Ro60-associated Y4"
57489,0.22211,8.38E-04,0.144,-3.339894,-0.4811003,879.84,ODF2L,outer dense fiber of sperm tails 2 like
84691,0.22211,8.30E-04,0.2955,-3.342602,-0.9876233,40.53,GARIN1B,golgi associated RAB2 interactor 1B
101241902,0.22211,8.43E-04,0.1645,-3.338149,-0.5490301,137.21,C4orf46P3,C4orf46 pseudogene 3
23049,0.22211,8.24E-04,0.0769,-3.344548,-0.2570694,4038.04,SMG1,SMG1 nonsense mediated mRNA decay associated PI3K related kinase
3113,0.23207,9.16E-04,0.3035,-3.315,-1.0060557,682.25,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
9179,0.23207,9.15E-04,0.1207,3.315515,0.4002605,530.42,AP4M1,adaptor related protein complex 4 subunit mu 1
105378526,0.23207,8.95E-04,0.3136,-3.32165,-1.0416188,74.14,LOC105378526,
7849,0.23808,9.52E-04,0.6557,-3.304278,-2.1664514,12.67,PAX8,paired box 8
101928338,0.24027,9.73E-04,0.3926,-3.298176,-1.2949697,62.91,LOC101928338,uncharacterized LOC101928338
