Term,P-value,Adjusted P-value,Combined Score,Genes
Collagen-Containing Extracellular Matrix (GO:0062023),2.15E-06,1.55E-04,89.05384045,COL1A1;COL1A2;LUM;SERPINE1;BGN;COL6A3;CCN2;HMCN1;FBLN5;ASPN;THBS4
Intracellular Organelle Lumen (GO:0070013),9.66E-04,0.034784425,21.87302335,COL1A1;BCAN;COL1A2;MMP16;PSMC3;MTHFD2;LUM;ECI1;GOT2;BGN;COL6A3;DLST
Golgi Lumen (GO:0005796),0.001483293,0.035599043,57.18359474,BCAN;MMP16;LUM;BGN
Adherens Junction (GO:0005912),0.006366132,0.114590381,29.11728745,MAGI1;CDHR3;HMCN1;DLL1
Lysosomal Lumen (GO:0043202),0.008703665,0.125332777,35.77231023,BCAN;LUM;BGN
Cul3-RING Ubiquitin Ligase Complex (GO:0031463),0.012729249,0.152750987,54.73825293,KLHL13;KBTBD8
Basement Membrane (GO:0005604),0.02138599,0.189429689,36.15264774,HMCN1;THBS4
Serine Protease Inhibitor Complex (GO:0097180),0.024263309,0.189429689,190.7125852,SERPINE1
External Side Of Apical Plasma Membrane (GO:0098591),0.024263309,0.189429689,190.7125852,SLC38A1
Microvillus (GO:0005902),0.032890086,0.189429689,25.21050369,VCAM1;RAPGEF3
Mitotic Spindle (GO:0072686),0.033271431,0.189429689,15.16944275,USP44;CDC7;SGF29
Dihydrolipoyl Dehydrogenase Complex (GO:0045240),0.033804687,0.189429689,115.7918426,DLST
Filopodium (GO:0030175),0.034997742,0.189429689,23.89599468,VCAM1;RAPGEF3
Perineuronal Net (GO:0072534),0.038540687,0.189429689,95.40343353,BCAN
Platelet Alpha Granule Lumen (GO:0031093),0.041622735,0.189429689,20.52967425,SERPINE1;IGF2
Perisynaptic Extracellular Matrix (GO:0098966),0.04325371,0.189429689,80.51615206,BCAN
Vacuolar Lumen (GO:0005775),0.044726454,0.189429689,12.26149807,BCAN;LUM;BGN
CMG Complex (GO:0071162),0.047943866,0.191775463,69.22044886,MCM5
Glutamatergic Synapse (GO:0098978),0.056129294,0.200198516,15.65263476,ADGRA1;NPTXR
Podosome (GO:0002102),0.057256012,0.200198516,53.32023276,VCAM1
Cell-Cell Junction (GO:0005911),0.059479797,0.200198516,7.981720705,MAGI1;CDHR3;HMCN1;DLL1
ATAC Complex (GO:0140672),0.061878221,0.200198516,47.5478141,SGF29
Actin-Based Cell Projection (GO:0098858),0.063952304,0.200198516,13.84589008,VCAM1;RAPGEF3
Platelet Alpha Granule (GO:0031091),0.070734596,0.212203787,12.56857714,SERPINE1;IGF2
Nuclear Chromosome (GO:0000228),0.079166434,0.221936709,11.25440027,BLM;MCM5
RNA Polymerase III Complex (GO:0005666),0.080143812,0.221936709,32.33951285,POLR3K
Spindle (GO:0005819),0.084282937,0.224754498,7.432048244,USP44;CDC7;SGF29
Nucleus (GO:0005634),0.092782885,0.238584562,3.293619709,ZCCHC12;BLM;TES;SATB1;ZC4H2;CDCA7;AKR1B1;DLST;PRKX;FRAT1;DUSP10;NOCT;POLD1;HES5;HNRNPA0;RFC5;LMO3;USP44;UBE2QL1;CDC7;OLIG1;PASK;MOB3B;ZEB2;PSMC3;TAF4B;MCM5;VGLL3
Mitochondrial Matrix (GO:0005759),0.096956267,0.240719006,5.530965131,MTHFD2;ECI1;GOT2;DLST
SAGA Complex (GO:0000124),0.106884161,0.256521986,20.83030537,SGF29
Intracellular Membrane-Bounded Organelle (GO:0043231),0.118446701,0.273383142,2.831807862,ZCCHC12;BLM;TES;SATB1;ZC4H2;CDCA7;AKR1B1;DLST;PRKX;FRAT1;GLRA2;DUSP10;NOCT;POLD1;CCN2;HES5;HNRNPA0;RFC5;LMO3;USP44;UBE2QL1;CDC7;OLIG1;PASK;MOB3B;ZEB2;PSMC3;TAF4B;MCM5;CD24;VGLL3
Histone Acetyltransferase Complex (GO:0000123),0.124282117,0.273383142,16.43356791,SGF29
Catenin Complex (GO:0016342),0.128578929,0.273383142,15.56618752,CDHR3
Cell-Substrate Junction (GO:0030055),0.129097595,0.273383142,4.347027041,TES;ITGA4;ITGA11;HMCN1
Rough Endoplasmic Reticulum (GO:0005791),0.137110046,0.282054953,14.03735619,TMEM97
Aggresome (GO:0016235),0.158077872,0.308934091,11.11275137,POLD1
Supramolecular Fiber (GO:0099512),0.162210517,0.308934091,10.64368118,FBLN5
Endoplasmic Reticulum Lumen (GO:0005788),0.163048548,0.308934091,3.999260227,COL1A1;COL1A2;COL6A3
SAGA-type Complex (GO:0070461),0.170415664,0.314613534,9.794207408,SGF29
Transcription Factor TFIID Complex (GO:0005669),0.186588079,0.327170702,8.38412801,TAF4B
Cortical Actin Cytoskeleton (GO:0030864),0.194556867,0.327170702,7.794244625,RAPGEF3
Sarcoplasmic Reticulum (GO:0016529),0.198512234,0.327170702,7.523076495,THBS4
Membrane Raft (GO:0045121),0.20091281,0.327170702,3.951146526,CD24;DLL1
Secretory Granule Lumen (GO:0034774),0.20217445,0.327170702,3.159453729,PSMC3;SERPINE1;IGF2
Basolateral Plasma Membrane (GO:0016323),0.204481689,0.327170702,3.861160511,SLC38A1;SLC4A4
cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.209848416,0.32845839,3.731325937,KLHL13;KBTBD8
Lysosome (GO:0005764),0.233139704,0.357150185,2.409333238,BCAN;LUM;BGN;TMEM97
Extracellular Membrane-Bounded Organelle (GO:0065010),0.244503099,0.366754649,5.14610322,COL6A3
Extracellular Vesicle (GO:1903561),0.255586542,0.375555735,4.729985272,COL6A3
Cortical Cytoskeleton (GO:0030863),0.266509021,0.383772991,4.362382466,RAPGEF3
Focal Adhesion (GO:0005925),0.294913162,0.416347994,1.959944803,TES;ITGA4;ITGA11
P-body (GO:0000932),0.335379463,0.464371564,2.72230382,PSMC3
Specific Granule Membrane (GO:0035579),0.357939108,0.486256902,2.357897086,BST1
Cytoplasmic Vesicle Lumen (GO:0060205),0.432494071,0.576658761,1.499912974,PSMC3
Ficolin-1-Rich Granule Lumen (GO:1904813),0.454490552,0.59496945,1.318072998,PSMC3
Actin Cytoskeleton (GO:0015629),0.477881716,0.607329798,0.926634668,VCAM1;RAPGEF3
Asymmetric Synapse (GO:0032279),0.480802757,0.607329798,1.130704049,ADGRA1
Neuron Projection (GO:0043005),0.516454056,0.640723821,0.728741644,GLRA2;DCX;KCNN3
Postsynaptic Density (GO:0014069),0.525037575,0.640723821,0.8746341,ADGRA1
Specific Granule (GO:0042581),0.543479888,0.652175865,0.785537801,BST1
Chromosome (GO:0005694),0.554644521,0.654662385,0.735862171,BLM
Ficolin-1-Rich Granule (GO:0101002),0.59666384,0.692899944,0.573653277,PSMC3
Lytic Vacuole (GO:0000323),0.667635585,0.756314745,0.369228738,TMEM97
Nuclear Membrane (GO:0031965),0.674175042,0.756314745,0.353871357,TMEM97
Vesicle (GO:0031982),0.68687427,0.756314745,0.325463908,COL6A3
trans-Golgi Network (GO:0005802),0.696076022,0.756314745,0.305991056,CHAC1
Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.703792888,0.756314745,0.296963312,MAGI1;BLM;ZEB2;VCAM1;DCX
Nucleolus (GO:0005730),0.733911925,0.769829312,0.243396951,MAGI1;BLM;ZEB2
Nuclear Lumen (GO:0031981),0.741124429,0.769829312,0.232863098,MAGI1;BLM;ZEB2
Secretory Granule Membrane (GO:0030667),0.748445164,0.769829312,0.210865461,BST1
Early Endosome (GO:0005769),0.781217475,0.792220538,0.163004041,VCAM1
Cytoskeleton (GO:0005856),0.949575514,0.949575514,0.017218792,DCX
3'-5' DNA Helicase Activity (GO:0043138),0.002081234,0.229782644,213.2233597,BLM;MCM5
Single-Stranded DNA Helicase Activity (GO:0017116),0.005150152,0.229782644,109.1175725,RFC5;MCM5
Notch Binding (GO:0005112),0.006114406,0.229782644,95.95691213,CHAC1;DLL1
Protein Kinase Activator Activity (GO:0030295),0.009267437,0.229782644,34.46500313,IGF2;CD24;MOB3B
3'-5' Exonuclease Activity (GO:0008408),0.018016674,0.229782644,41.54941756,NOCT;POLD1
Protease Binding (GO:0002020),0.02358238,0.229782644,19.18568924,COL1A1;COL1A2;SERPINE1
cAMP-dependent Protein Kinase Activity (GO:0004691),0.024263309,0.229782644,190.7125852,PRKX
Zinc Ion Binding (GO:0008270),0.026243085,0.229782644,11.39707218,BLM;TES;MMP16;PAPPA;CXXC4
Symporter Activity (GO:0015293),0.029045598,0.229782644,145.1819826,SLC4A4
Primary Amine Oxidase Activity (GO:0008131),0.029045598,0.229782644,145.1819826,VCAM1
Cell-Matrix Adhesion Mediator Activity (GO:0098634),0.029045598,0.229782644,145.1819826,ITGA11
"Oxidoreductase Activity, Acting On The CH-NH2 Group Of Donors, Oxygen As Acceptor (GO:0016641)",0.033804687,0.229782644,115.7918426,VCAM1
Bubble DNA Binding (GO:0000405),0.033804687,0.229782644,115.7918426,BLM
Cyclic Nucleotide-Dependent Protein Kinase Activity (GO:0004690),0.033804687,0.229782644,115.7918426,PRKX
L-glutamine Transmembrane Transporter Activity (GO:0015186),0.038540687,0.229782644,95.40343353,SLC38A1
Glycine Binding (GO:0016594),0.04325371,0.229782644,80.51615206,GLRA2
Glycine Transmembrane Transporter Activity (GO:0015187),0.04325371,0.229782644,80.51615206,SLC38A1
Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416),0.04325371,0.229782644,80.51615206,SLC38A1
Phosphate Ion Binding (GO:0042301),0.04325371,0.229782644,80.51615206,MTHFD2
MAP Kinase Tyrosine Phosphatase Activity (GO:0033550),0.04325371,0.229782644,80.51615206,DUSP10
MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017),0.04325371,0.229782644,80.51615206,DUSP10
Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330),0.04325371,0.229782644,80.51615206,DUSP10
Tat Protein Binding (GO:0030957),0.04325371,0.229782644,80.51615206,DLL1
Eukaryotic Initiation Factor 4E Binding (GO:0008190),0.04325371,0.229782644,80.51615206,EIF4EBP1
alditol:NADP+ 1-Oxidoreductase Activity (GO:0004032),0.047943866,0.229782644,69.22044886,AKR1B1
Platelet-Derived Growth Factor Binding (GO:0048407),0.047943866,0.229782644,69.22044886,COL1A2
Organic Acid:Sodium Symporter Activity (GO:0005343),0.052611263,0.229782644,60.39016494,SLC38A1
3'-5'-DNA Exonuclease Activity (GO:0008296),0.052611263,0.229782644,60.39016494,POLD1
Calcium-Activated Potassium Channel Activity (GO:0015269),0.052611263,0.229782644,60.39016494,KCNN3
Monoatomic Cation:Bicarbonate Symporter Activity (GO:0140410),0.052611263,0.229782644,60.39016494,SLC4A4
Dynactin Binding (GO:0034452),0.052611263,0.229782644,60.39016494,BICDL1
5'-Nucleotidase Activity (GO:0008253),0.057256012,0.229782644,53.32023276,NT5DC2
"DNA Exonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016895)",0.057256012,0.229782644,53.32023276,POLD1
