GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
6192,4.37E-18,2.31E-22,1.0658,9.7269721,10.36732025,1251.21,RPS4Y1,ribosomal protein S4 Y-linked 1
8653,1.04E-17,1.10E-21,0.8821,9.5672151,8.43952223,984.31,DDX3Y,DEAD-box helicase 3 Y-linked
64595,1.18E-12,1.88E-16,0.9267,8.2292451,7.62589745,333.82,TTTY15,"testis-specific transcript, Y-linked 15"
8287,9.51E-12,2.02E-15,0.907,7.9403627,7.20178957,697.78,USP9Y,ubiquitin specific peptidase 9 Y-linked
7404,6.41E-11,1.70E-14,0.8059,7.6716438,6.18263279,221.81,UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"
5616,1.62E-10,5.16E-14,0.7579,7.5277681,5.70515795,112.05,PRKY,protein kinase Y-linked (pseudogene)
8284,6.84E-10,2.54E-13,0.9954,7.316902,7.28346566,470.63,KDM5D,lysine demethylase 5D
246126,7.38E-10,3.13E-13,1.0227,7.2886691,7.45395672,242.96,TXLNGY,"taxilin gamma pseudogene, Y-linked"
22829,1.53E-09,7.28E-13,0.6568,7.174151,4.7122882,224.64,NLGN4Y,neuroligin 4 Y-linked
7544,4.15E-09,2.20E-12,0.8888,7.021132,6.24064825,63.3,ZFY,zinc finger protein Y-linked
9096,3.67E-08,2.14E-11,0.9223,6.6960317,6.17597784,219.56,TBX18,T-box transcription factor 18
112268311,6.25E-06,3.97E-09,1.1932,5.8853623,7.02224185,41.76,LOC112268311,uncharacterized LOC112268311
1634,9.16E-06,6.31E-09,0.8124,5.8082491,4.71855161,2088.21,DCN,decorin
4969,1.71E-05,1.27E-08,1.0307,5.690274,5.86468828,442.07,OGN,osteoglycin
105377223,1.84E-05,1.47E-08,0.6783,5.6656081,3.84296697,27.26,LOC105377223,uncharacterized LOC105377223
7403,2.69E-05,2.28E-08,0.1908,-5.589324,-1.06639441,869.13,KDM6A,lysine demethylase 6A
8516,3.79E-05,3.42E-08,0.9021,5.5185977,4.97810637,662.71,ITGA8,integrin subunit alpha 8
4256,4.41E-05,4.21E-08,0.957,5.4820128,5.24651883,1332.92,MGP,matrix Gla protein
4803,6.87E-05,6.91E-08,1.0119,5.3933998,5.45734296,222.63,NGF,nerve growth factor
54829,7.56E-05,8.01E-08,0.9704,5.3668267,5.20806818,563.13,ASPN,asporin
102724068,1.24E-04,1.65E-07,0.5915,5.2351697,3.09685832,20.48,LOC102724068,uncharacterized LOC102724068
10242,1.24E-04,1.60E-07,0.5345,5.2409769,2.80126759,21.63,KCNMB2,potassium calcium-activated channel subfamily M regulatory beta subunit 2
57569,1.24E-04,1.63E-07,0.6762,5.2369991,3.5414685,169.05,ARHGAP20,Rho GTPase activating protein 20
3671,1.24E-04,1.44E-07,0.8228,5.259899,4.3278134,944.15,ISLR,immunoglobulin superfamily containing leucine rich repeat
9087,1.24E-04,1.65E-07,1.0591,5.2352399,5.54442121,20.34,TMSB4Y,thymosin beta 4 Y-linked
10736,1.29E-04,1.77E-07,1.0701,5.2217001,5.58754999,413.78,SIX2,SIX homeobox 2
83869,1.43E-04,2.05E-07,0.8892,5.1950118,4.61934318,24.19,TTTY14,"testis-specific transcript, Y-linked 14"
26223,1.45E-04,2.15E-07,0.979,5.1857943,5.07688379,33.23,FBXL21P,"F-box and leucine rich repeat protein 21, pseudogene"
579,1.66E-04,2.55E-07,0.7344,5.1542735,3.78505765,101.83,NKX3-2,NK3 homeobox 2
1307,1.71E-04,2.72E-07,0.9216,5.1418264,4.73868431,1346.54,COL16A1,collagen type XVI alpha 1 chain
105373386,2.04E-04,3.35E-07,0.3755,5.1028814,1.91618581,22.92,LOC105373386,uncharacterized LOC105373386
5239,2.05E-04,3.48E-07,0.7079,5.0955319,3.60728001,75.7,PGM5,phosphoglucomutase 5
90665,2.11E-04,3.69E-07,0.6288,5.0841669,3.19714231,21.99,TBL1Y,transducin beta like 1 Y-linked
11181,2.62E-04,4.72E-07,0.1375,5.0375181,0.69271687,244.26,TREH,trehalase
29951,2.71E-04,5.03E-07,0.5628,5.0250845,2.82828588,175.89,PDZRN4,PDZ domain containing ring finger 4
84870,2.82E-04,5.39E-07,0.4703,5.0120249,2.35721942,535.99,RSPO3,R-spondin 3
1306,4.00E-04,7.84E-07,0.9233,4.9392511,4.56060662,2475.41,COL15A1,collagen type XV alpha 1 chain
101929415,4.65E-04,9.36E-07,1.0158,4.9046219,4.98203809,969.07,PENK-AS1,PENK antisense RNA 1
79974,4.89E-04,1.03E-06,0.8365,4.8854373,4.08647768,105.78,CPED1,cadherin like and PC-esterase domain containing 1
5800,4.89E-04,1.04E-06,0.249,4.8844036,1.21626799,583.91,PTPRO,protein tyrosine phosphatase receptor type O
143941,5.49E-04,1.19E-06,0.3983,4.8568572,1.9345778,19.2,TTC36,tetratricopeptide repeat domain 36
10631,6.46E-04,1.44E-06,0.7915,4.8196665,3.81470116,5317.38,POSTN,periostin
1293,7.07E-04,1.70E-06,0.8619,4.7864582,4.1256716,13222,COL6A3,collagen type VI alpha 3 chain
93166,7.07E-04,1.64E-06,0.94,4.793453,4.506055,146.1,PRDM6,PR/SET domain 6
5179,7.07E-04,1.67E-06,1.004,4.7894101,4.80863863,4066.74,PENK,proenkephalin
1428,7.07E-04,1.72E-06,0.714,4.7834266,3.41542471,129.98,CRYM,crystallin mu
2852,7.08E-04,1.76E-06,0.4689,4.7787992,2.24099015,37.04,GPER1,G protein-coupled estrogen receptor 1
388327,8.31E-04,2.13E-06,0.2508,4.7406434,1.18906464,144.65,C17orf100,chromosome 17 open reading frame 100
10194,8.31E-04,2.16E-06,0.3831,4.7379645,1.81513656,483.95,TSHZ1,teashirt zinc finger homeobox 1
150291,1.05E-03,2.78E-06,0.2693,4.6861166,1.26187678,53.19,MORC2-AS1,MORC2 antisense RNA 1
2297,1.07E-03,2.90E-06,0.7737,4.6777431,3.61929954,72.68,FOXD1,forkhead box D1
7764,1.13E-03,3.12E-06,0.1845,-4.6629543,-0.8605018,1510.82,ZNF217,zinc finger protein 217
633,1.19E-03,3.35E-06,0.7357,4.6480693,3.41943749,1063.9,BGN,biglycan
81624,1.29E-03,3.68E-06,0.2808,-4.6288101,-1.29963084,377.25,DIAPH3,diaphanous related formin 3
6327,1.32E-03,3.84E-06,0.7231,4.6196341,3.34048072,84.04,SCN2B,sodium voltage-gated channel beta subunit 2
2982,1.32E-03,3.92E-06,0.9663,4.6157566,4.4600383,338.61,GUCY1A1,guanylate cyclase 1 soluble subunit alpha 1
83259,1.35E-03,4.07E-06,0.6345,4.6080167,2.9238715,88.63,PCDH11Y,protocadherin 11 Y-linked
112268201,1.40E-03,4.31E-06,0.4631,4.5956918,2.12844719,29.97,LOC112268201,
100506022,1.47E-03,4.60E-06,0.3668,4.58245,1.68103974,17.33,LINC02606,long intergenic non-protein coding RNA 2606
85443,1.48E-03,4.95E-06,0.4807,4.5667408,2.19518625,10.48,DCLK3,doublecortin like kinase 3
84570,1.48E-03,4.85E-06,0.8751,4.5712545,4.00023144,451.97,COL25A1,collagen type XXV alpha 1 chain
57125,1.48E-03,4.75E-06,0.7088,4.5756377,3.24310376,567.91,PLXDC1,plexin domain containing 1
114897,1.48E-03,4.92E-06,0.8058,4.5681871,3.6808304,25.36,C1QTNF1,C1q and TNF related 1
2191,1.55E-03,5.26E-06,1.002,4.5542172,4.56312747,151.4,FAP,fibroblast activation protein alpha
140701,1.78E-03,6.12E-06,0.325,4.5223282,1.46968215,57.52,ABHD16B,abhydrolase domain containing 16B
83468,2.06E-03,7.20E-06,0.6512,4.4876734,2.92257727,293.96,GLT8D2,glycosyltransferase 8 domain containing 2
4563,2.07E-03,7.35E-06,0.189,4.4833913,0.84727353,481.45,TRNG,tRNA-Gly
692072,2.13E-03,7.67E-06,0.3381,-4.4741201,-1.5127655,35.61,SNORD5,"small nucleolar RNA, C/D box 5"
7043,2.19E-03,8.02E-06,0.8354,4.4647296,3.72961876,1153.99,TGFB3,transforming growth factor beta 3
11117,2.29E-03,8.51E-06,0.9522,4.4518604,4.23924427,1723.97,EMILIN1,elastin microfibril interfacer 1
5629,2.31E-03,8.81E-06,0.4181,-4.4444974,-1.85808906,281.62,PROX1,prospero homeobox 1
163115,2.31E-03,8.75E-06,0.3176,4.4459786,1.41209227,43.47,ZNF781,zinc finger protein 781
105371216,2.39E-03,9.24E-06,0.4758,-4.4343352,-2.10998179,15.37,LOC105371216,uncharacterized LOC105371216
1810,2.66E-03,1.04E-05,0.1398,-4.4079279,-0.61610273,2092.66,DR1,down-regulator of transcription 1
1909,2.66E-03,1.06E-05,0.8265,4.4039638,3.63968887,1247.75,EDNRA,endothelin receptor type A
57091,2.66E-03,1.07E-05,0.8054,4.4021215,3.54547687,65.53,CASS4,Cas scaffold protein family member 4
84631,2.70E-03,1.10E-05,1.0268,-4.3963107,-4.51408564,162,SLITRK2,SLIT and NTRK like family member 2
7373,2.89E-03,1.22E-05,0.8648,4.3739036,3.78255745,1552.46,COL14A1,collagen type XIV alpha 1 chain
7465,2.89E-03,1.20E-05,0.2697,-4.3770011,-1.18040862,1129.85,WEE1,WEE1 G2 checkpoint kinase
22795,2.89E-03,1.23E-05,0.8688,4.3724504,3.798698,2692.92,NID2,nidogen 2
8242,2.89E-03,1.24E-05,0.1756,-4.3706605,-0.76744306,4849.83,KDM5C,lysine demethylase 5C
80832,2.90E-03,1.26E-05,0.7978,4.3667033,3.48378215,86.33,APOL4,apolipoprotein L4
127933,3.09E-03,1.39E-05,0.2849,-4.3461675,-1.23817058,2218.83,UHMK1,U2AF homology motif kinase 1
107986649,3.09E-03,1.38E-05,0.371,4.3476426,1.61317217,71.4,LOC107986649,
168002,3.09E-03,1.39E-05,0.6096,4.3450173,2.64864203,102.46,DACT2,dishevelled binding antagonist of beta catenin 2
671,3.24E-03,1.48E-05,1.1519,4.3320777,4.99002733,27.41,BPI,bactericidal permeability increasing protein
167227,3.62E-03,1.67E-05,0.2402,-4.3050421,-1.03415584,2100.64,DCP2,decapping mRNA 2
8707,4.07E-03,1.94E-05,0.6213,4.2714212,2.65397328,44.38,B3GALT2,"beta-1,3-galactosyltransferase 2"
1620,4.07E-03,1.94E-05,0.4351,4.2719135,1.85852837,311.72,BRINP1,BMP/retinoic acid inducible neural specific 1
100874195,4.07E-03,1.93E-05,0.4058,-4.2725492,-1.73397532,19.29,DIAPH3-AS1,DIAPH3 antisense RNA 1
9262,4.27E-03,2.06E-05,0.3172,-4.2583081,-1.35077803,516.4,STK17B,serine/threonine kinase 17b
